Verb,Tense,Subject
আঁকিবেন,Future,pol_f
আঁকিয়া,Participle,404_f
আঁকিয়াছ,Present,2nd_f
আঁকিয়াছি,Present,1st
আঁকিয়াছিল,Past,3rd_f
আঁকিয়াছিলাম,Past,1st
আঁকিয়াছিলি,Past,1st
আঁকিয়াছিলে,Past,2nd_f
আঁকিয়াছিলেন,Past,pol_f
আঁকিয়াছিস,Present,2nd_i
আঁকিয়াছে,Present,3rd_f
আঁকিয়াছেন,Present,pol_f
আঁকিয়ে,Participle,404_f
আঁকিয়েছ,Present,2nd_f
আঁকিয়েছি,Present,1st
আঁকিয়েছিল,Past,3rd_f
আঁকিয়েছিলাম,Past,1st
আঁকিয়েছিলি,Past,1st
আঁকিয়েছিলুম,Past,1st
আঁকিয়েছিলে,Past,2nd_f
আঁকিয়েছিলেন,Past,pol_f
আঁকিয়েছিলেম,Past,1st
আঁকিয়েছিস,Present,2nd_i
আঁকিয়েছে,Present,2nd_f
আঁকিয়েছেন,Present,pol_f
আঁকিয়ো,Present,2nd_f
আঁকিল,Past,3rd_f
আঁকিলাম,Past,1st
আঁকিলি,Past,1st
আঁকিলে,Past,2nd_f
আঁকিলেন,Past,pol_f
আঁকিস,Present,2nd_i
আঁকুক,Present,3rd_f
আঁকুন,Present,pol_f
আঁকে,Present,3rd_f
আঁকেন,Present,pol_f
আঁকছ,Present,2nd_f
আঁকছি,Present,1st
আঁকছিল,Past,3rd_f
আঁকছিলাম,Past,1st
আঁকছিলি,Past,1st
আঁকছিলুম,Past,1st
আঁকছিলে,Past,2nd_f
আঁকছিলেন,Past,pol_f
আঁকছিলেম,Past,1st
আঁকছিস,Present,2nd_i
আঁকছে,Present,3rd_f
আঁকছেন,Present,pol_f
আসা,Base,pos_f
আসার,Present,404_f
আসি,Present,1st
আসিও,Present,2nd_f
আসিত,Past,3rd_f
আসিতাম,Past,1st
আসিতিস,Past,2nd_i
আসিতে,Past,2nd_f
আসিতেছ,Present,2nd_f
আসিতেছি,Present,1st
আসিতেছিল,Past,3rd_f
আসিতেছিলাম,Past,1st
আসিতেছিলি,Past,1st
আসিতেছিলে,Past,2nd_f
আসিতেছিলেন,Past,pol_f
আসিতেছিস,Present,2nd_i
আসিতেছে,Present,2nd_f
আসিতেছেন,Present,pol_f
আসিতেন,Past,pol_f
আসিব,Future,1st
আসিবার,Present,404_f
আসিবি,Future,1st
আসিবে,Future,2nd_f
আসিবেন,Future,pol_f
আসিয়া,Participle,404_f
আসিয়াছ,Present,2nd_f
আসিয়াছি,Present,1st
আসিয়াছিল,Past,3rd_f
আসিয়াছিলাম,Past,1st
আসিয়াছিলি,Past,1st
আসিয়াছিলে,Past,2nd_f
আসিয়াছিলেন,Past,pol_f
আসিয়াছিস,Present,2nd_i
আসিয়াছে,Present,3rd_f
আসিয়াছেন,Present,pol_f
আসিয়ো,Present,2nd_f
আসিল,Past,3rd_f
আসিলাম,Past,1st
আসিলি,Past,1st
আসিলে,Past,2nd_f
আসিলেন,Past,pol_f
আসিস,Present,2nd_i
আসুক,Present,3rd_f
আসুন,Present,pol_f
আসে,Present,3rd_f
আসেন,Present,pol_f
আসছ,Present,2nd_f
আসছি,Present,1st
আসছিল,Past,3rd_f
আসছিলাম,Past,1st
আসছিলি,Past,1st
আসছিলুম,Past,1st
আসছিলে,Past,2nd_f
আসছিলেন,Past,pol_f
আসছিলেম,Past,1st
আসছিস,Present,2nd_i
আসছে,Present,3rd_f
আসছেন,Present,pol_f
আসত,Past,3rd_f
আসতাম,Past,1st
আসতিস,Past,2nd_i
আসতুম,Past,1st
আসতে,Past,2nd_f
আসতেন,Past,pol_f
আসতেম,Past,1st
আসব,Future,1st
আসবার,Present,404_f
আসবি,Future,1st
আসবে,Future,2nd_f
আসবেন,Future,pol_f
আসবো,Future,1st
আসল,Past,3rd_f
আসলাম,Past,1st
আসলুম,Past,1st
আসলে,Past,2nd_f
আসলেন,Past,pol_f
আসলেম,Past,1st
উঠ,Root,2nd_i
উঠা,Base,pos_f
উঠাই,Present,1st
উঠাইও,Present,2nd_f
উঠাইত,Past,3rd_f
উঠাইতাম,Past,1st
উঠাইতিস,Past,2nd_i
উঠাইতে,Past,2nd_f
উঠাইতেছ,Present,2nd_f
উঠাইতেছি,Present,1st
উঠাইতেছিল,Past,3rd_f
উঠাইতেছিলাম,Past,1st
উঠাইতেছিলি,Past,1st
উঠাইতেছিলে,Past,2nd_f
উঠাইতেছিলেন,Past,pol_f
উঠাইতেছিস,Present,2nd_i
উঠাইতেছে,Present,2nd_f
উঠাইতেছেন,Present,pol_f
উঠাইতেন,Past,pol_f
উঠাইব,Future,1st
উঠাইবার,Present,404_f
উঠাইবি,Future,1st
উঠাইবে,Future,2nd_f
উঠাইবেন,Future,pol_f
উঠাইয়া,Participle,404_f
উঠাইয়াছ,Present,2nd_f
উঠাইয়াছি,Present,1st
উঠাইয়াছিল,Past,3rd_f
উঠাইয়াছিলাম,Past,1st
উঠাইয়াছিলি,Past,1st
উঠাইয়াছিলে,Past,2nd_f
উঠাইয়াছিলেন,Past,pol_f
উঠাইয়াছিস,Present,2nd_i
উঠাইয়াছে,Present,3rd_f
উঠাইয়াছেন,Present,pol_f
উঠাইয়ো,Present,2nd_f
উঠাইল,Past,3rd_f
উঠাইলাম,Past,1st
উঠাইলি,Past,1st
উঠাইলে,Past,2nd_f
উঠাইলেন,Past,pol_f
উঠাও,Present,2nd_f
উঠাক,Present,3rd_f
উঠায়,Present,3rd_f
উঠাস,Present,2nd_i
উঠই,Present,1st
উঠি,Present,1st
উঠিও,Present,2nd_f
উঠিতাম,Past,1st
উঠিতিস,Past,2nd_i
উঠিতে,Past,2nd_f
উঠিতেছ,Present,2nd_f
উঠিতেছি,Present,1st
উঠিতেছিল,Past,3rd_f
উঠিতেছিলাম,Past,1st
উঠিতেছিলি,Past,1st
উঠিতেছিলে,Past,2nd_f
উঠিতেছিলেন,Past,pol_f
উঠিতেছিস,Present,2nd_i
উঠিতেছে,Present,2nd_f
উঠিতেছেন,Present,pol_f
উঠিতেন,Past,pol_f
উঠিব,Future,1st
উঠিবার,Present,404_f
উঠিবি,Future,1st
উঠিবে,Future,2nd_f
উঠিবেন,Future,pol_f
উঠিয়া,Participle,404_f
উঠিয়াছ,Present,2nd_f
উঠিয়াছি,Present,1st
উঠিয়াছিল,Past,3rd_f
উঠিয়াছিলাম,Past,1st
উঠিয়াছিলি,Past,1st
উঠিয়াছিলে,Past,2nd_f
উঠিয়াছিলেন,Past,pol_f
উঠিয়াছিস,Present,2nd_i
উঠিয়াছে,Present,3rd_f
উঠিয়াছেন,Present,pol_f
উঠিয়ে,Participle,404_f
উঠিয়েছ,Present,2nd_f
উঠিয়েছি,Present,1st
উঠিয়েছিল,Past,3rd_f
উঠিয়েছিলাম,Past,1st
উঠিয়েছিলি,Past,1st
উঠিয়েছিলুম,Past,1st
উঠিয়েছিলে,Past,2nd_f
উঠিয়েছিলেন,Past,pol_f
উঠিয়েছিলেম,Past,1st
উঠিয়েছিস,Present,2nd_i
উঠিয়েছে,Present,2nd_f
উঠিয়েছেন,Present,pol_f
উঠিয়ো,Present,2nd_f
উঠিল,Past,3rd_f
উঠিলাম,Past,1st
উঠিলি,Past,1st
উঠিলে,Past,2nd_f
উঠিলেন,Past,pol_f
উঠিস,Present,2nd_i
উঠুক,Present,3rd_f
উঠুন,Present,pol_f
উঠে,Present,3rd_f
উঠেছ,Present,2nd_f
উঠেছি,Present,1st
উঠেছিল,Past,3rd_f
উঠেছিলাম,Past,1st
উঠেছিলি,Past,1st
উঠেছিলুম,Past,1st
উঠেছিলে,Past,2nd_f
উঠেছিলেন,Past,pol_f
উঠেছিলেম,Past,1st
উঠেছিস,Present,2nd_i
উঠেছে,Present,2nd_f
উঠেছেন,Present,pol_f
উঠেন,Present,pol_f
উঠেপড়ে,Present,3rd_f
উঠও,Present,2nd_f
উঠো,Present,2nd_f
উঠচ্ছ,Present,2nd_f
উঠচ্ছি,Present,1st
উঠচ্ছিল,Past,3rd_f
উঠচ্ছিলাম,Past,1st
উঠচ্ছিলি,Past,1st
উঠচ্ছিলুম,Past,1st
উঠচ্ছিলে,Past,2nd_f
উঠচ্ছিলেন,Past,pol_f
উঠচ্ছিলেম,Past,1st
উঠচ্ছিস,Present,2nd_i
উঠচ্ছে,Present,3rd_f
উঠচ্ছেন,Present,pol_f
উঠছ,Present,2nd_f
উঠছি,Present,1st
উঠছিল,Past,3rd_f
উঠছিলাম,Past,1st
উঠছিলি,Past,1st
উঠছিলুম,Past,1st
উঠছিলে,Past,2nd_f
উঠছিলেন,Past,pol_f
উঠছিলেম,Past,1st
উঠছিস,Present,2nd_i
উঠছে,Present,3rd_f
উঠছেন,Present,pol_f
উঠত,Past,3rd_f
উঠতাম,Past,1st
উঠতিস,Past,2nd_i
উঠতুম,Past,1st
উঠতে,Past,2nd_f
উঠতেন,Past,pol_f
উঠতেম,Past,1st
উঠনো,Present,obj_f
উঠব,Future,1st
উঠবার,Present,404_f
উঠবি,Future,1st
উঠবে,Future,2nd_f
উঠবেন,Future,pol_f
উঠবো,Future,1st
উঠয়,Present,3rd_f
উঠল,Past,3rd_f
উঠলাম,Past,1st
উঠলি,Past,1st
উঠলুম,Past,1st
উঠলে,Past,2nd_f
উঠলেন,Past,pol_f
উঠলেম,Past,1st
কাট,Root,2nd_i
কাটা,Base,pos_f
কাটাই,Present,1st
কাটাইও,Present,2nd_f
কাটাইত,Past,3rd_f
কাটাইতাম,Past,1st
কাটাইতিস,Past,2nd_i
কাটাইতে,Past,2nd_f
কাটাইতেছ,Present,2nd_f
কাটাইতেছি,Present,1st
কাটাইতেছিল,Past,3rd_f
কাটাইতেছিলাম,Past,1st
কাটাইতেছিলি,Past,1st
কাটাইতেছিলে,Past,2nd_f
কাটাইতেছিলেন,Past,pol_f
কাটাইতেছিস,Present,2nd_i
কাটাইতেছে,Present,2nd_f
কাটাইতেছেন,Present,pol_f
কাটাইতেন,Past,pol_f
কাটাইব,Future,1st
কাটাইবার,Present,404_f
কাটাইবি,Future,1st
কাটাইবে,Future,2nd_f
কাটাইবেন,Future,pol_f
কাটাইয়া,Participle,404_f
কাটাইয়াছ,Present,2nd_f
কাটাইয়াছি,Present,1st
কাটাইয়াছিল,Past,3rd_f
কাটাইয়াছিলাম,Past,1st
কাটাইয়াছিলি,Past,1st
কাটাইয়াছিলে,Past,2nd_f
কাটাইয়াছিলেন,Past,pol_f
কাটাইয়াছিস,Present,2nd_i
কাটাইয়াছে,Present,3rd_f
কাটাইয়াছেন,Present,pol_f
কাটাইয়ো,Present,2nd_f
কাটাইল,Past,3rd_f
কাটাইলাম,Past,1st
কাটাইলি,Past,1st
কাটাইলে,Past,2nd_f
কাটাইলেন,Past,pol_f
কাটাও,Present,2nd_f
কাটাক,Present,3rd_f
কাটাচ্ছ,Present,2nd_f
কাটাচ্ছি,Present,1st
কাটাচ্ছিল,Past,3rd_f
কাটাচ্ছিলাম,Past,1st
কাটাচ্ছিলি,Past,1st
কাটাচ্ছিলুম,Past,1st
কাটাচ্ছিলে,Past,2nd_f
কাটাচ্ছিলেন,Past,pol_f
কাটাচ্ছিলেম,Past,1st
কাটাচ্ছিস,Present,2nd_i
কাটাচ্ছে,Present,3rd_f
কাটাচ্ছেন,Present,pol_f
কাটাত,Past,3rd_f
কাটাতাম,Past,1st
কাটাতিস,Past,2nd_i
কাটাতুম,Past,1st
কাটাতে,Past,2nd_f
কাটাতেন,Past,pol_f
কাটাতেম,Past,1st
কাটান,Present,pol_f
কাটানো,Present,obj_f
কাটাব,Future,1st
কাটাবার,Present,404_f
কাটাবি,Future,1st
কাটাবে,Future,2nd_f
কাটাবেন,Future,pol_f
কাটাবো,Future,1st
কাটায়,Present,3rd_f
কাটার,Present,404_f
কাটাল,Past,3rd_f
কাটালাম,Past,1st
কাটালি,Past,1st
কাটালুম,Past,1st
কাটালে,Past,2nd_f
কাটালেন,Past,pol_f
কাটালেম,Past,1st
কাটাস,Present,2nd_i
কাটি,Present,1st
কাটিও,Present,2nd_f
কাটিত,Past,3rd_f
কাটিতাম,Past,1st
কাটিতিস,Past,2nd_i
কাটিতে,Past,2nd_f
কাটিতেছ,Present,2nd_f
কাটিতেছি,Present,1st
কাটিতেছিল,Past,3rd_f
কাটিতেছিলাম,Past,1st
কাটিতেছিলি,Past,1st
কাটিতেছিলে,Past,2nd_f
কাটিতেছিলেন,Past,pol_f
কাটিতেছিস,Present,2nd_i
কাটিতেছে,Present,2nd_f
কাটিতেছেন,Present,pol_f
কাটিতেন,Past,pol_f
কাটিব,Future,1st
কাটিবার,Present,404_f
কাটিবি,Future,1st
কাটিবে,Future,2nd_f
কাটিবেন,Future,pol_f
কাটিয়া,Participle,404_f
কাটিয়াছ,Present,2nd_f
কাটিয়াছি,Present,1st
কাটিয়াছিল,Past,3rd_f
কাটিয়াছিলাম,Past,1st
কাটিয়াছিলি,Past,1st
কাটিয়াছিলে,Past,2nd_f
কাটিয়াছিলেন,Past,pol_f
কাটিয়াছিস,Present,2nd_i
কাটিয়াছে,Present,3rd_f
কাটিয়াছেন,Present,pol_f
কাটিয়ে,Participle,404_f
কাটিয়েছ,Present,2nd_f
কাটিয়েছি,Present,1st
কাটিয়েছিল,Past,3rd_f
কাটিয়েছিলাম,Past,1st
কাটিয়েছিলি,Past,1st
কাটিয়েছিলুম,Past,1st
কাটিয়েছিলে,Past,2nd_f
কাটিয়েছিলেন,Past,pol_f
কাটিয়েছিলেম,Past,1st
কাটিয়েছিস,Present,2nd_i
কাটিয়েছে,Present,2nd_f
কাটিয়েছেন,Present,pol_f
কাটিয়ো,Present,2nd_f
কাটিল,Past,3rd_f
কাটিলাম,Past,1st
কাটিলি,Past,1st
কাটিলে,Past,2nd_f
কাটিলেন,Past,pol_f
কাটিস,Present,2nd_i
কাটুক,Present,3rd_f
কাটুন,Present,pol_f
কাটে,Present,3rd_f
কাটেন,Present,pol_f
কাটছ,Present,2nd_f
কাটছি,Present,1st
কাটছিল,Past,3rd_f
কাটছিলাম,Past,1st
কাটছিলি,Past,1st
কাটছিলুম,Past,1st
কাটছিলে,Past,2nd_f
কাটছিলেন,Past,pol_f
কাটছিলেম,Past,1st
কাটছিস,Present,2nd_i
কাটছে,Present,3rd_f
কাটছেন,Present,pol_f
কাটত,Past,3rd_f
কাটতাম,Past,1st
কাটতিস,Past,2nd_i
কাটতুম,Past,1st
কাটতে,Past,2nd_f
কাটতেন,Past,pol_f
কাটতেম,Past,1st
কাটনো,Present,obj_f
কাটব,Future,1st
কাটবার,Present,404_f
কাটবি,Future,1st
কাটবে,Future,2nd_f
কাটবেন,Future,pol_f
কাটবো,Future,1st
কাটল,Past,3rd_f
কাটলাম,Past,1st
কাটলি,Past,1st
কাটলুম,Past,1st
কাটলে,Past,2nd_f
কাটলেন,Past,pol_f
কাটলেম,Past,1st
কাঁদ,Root,2nd_i
কাঁদা,Base,pos_f
কাঁদাই,Present,1st
কাঁদাইও,Present,2nd_f
কাঁদাইত,Past,3rd_f
কাঁদাইতাম,Past,1st
কাঁদাইতিস,Past,2nd_i
কাঁদাইতে,Past,2nd_f
কাঁদাইতেছ,Present,2nd_f
কাঁদাইতেছি,Present,1st
কাঁদাইতেছিল,Past,3rd_f
কাঁদাইতেছিলাম,Past,1st
কাঁদাইতেছিলি,Past,1st
কাঁদাইতেছিলে,Past,2nd_f
কাঁদাইতেছিলেন,Past,pol_f
কাঁদাইতেছিস,Present,2nd_i
কাঁদাইতেছে,Present,2nd_f
কাঁদাইতেছেন,Present,pol_f
কাঁদাইতেন,Past,pol_f
কাঁদাইব,Future,1st
কাঁদাইবার,Present,404_f
কাঁদাইবি,Future,1st
কাঁদাইবে,Future,2nd_f
কাঁদাইবেন,Future,pol_f
কাঁদাইয়া,Participle,404_f
কাঁদাইয়াছ,Present,2nd_f
কাঁদাইয়াছি,Present,1st
কাঁদাইয়াছিল,Past,3rd_f
কাঁদাইয়াছিলাম,Past,1st
কাঁদাইয়াছিলি,Past,1st
কাঁদাইয়াছিলে,Past,2nd_f
কাঁদাইয়াছিলেন,Past,pol_f
কাঁদাইয়াছিস,Present,2nd_i
কাঁদাইয়াছে,Present,3rd_f
কাঁদাইয়াছেন,Present,pol_f
কাঁদাইয়ো,Present,2nd_f
কাঁদাইল,Past,3rd_f
কাঁদাইলাম,Past,1st
কাঁদাইলি,Past,1st
কাঁদাইলে,Past,2nd_f
কাঁদাইলেন,Past,pol_f
কাঁদাও,Present,2nd_f
কাঁদাক,Present,3rd_f
কাঁদাচ্ছ,Present,2nd_f
কাঁদাচ্ছি,Present,1st
কাঁদাচ্ছিল,Past,3rd_f
কাঁদাচ্ছিলাম,Past,1st
কাঁদাচ্ছিলি,Past,1st
কাঁদাচ্ছিলুম,Past,1st
কাঁদাচ্ছিলে,Past,2nd_f
কাঁদাচ্ছিলেন,Past,pol_f
কাঁদাচ্ছিলেম,Past,1st
কাঁদাচ্ছিস,Present,2nd_i
কাঁদাচ্ছে,Present,3rd_f
কাঁদাচ্ছেন,Present,pol_f
কাঁদাত,Past,3rd_f
কাঁদাতাম,Past,1st
কাঁদাতিস,Past,2nd_i
কাঁদাতুম,Past,1st
কাঁদাতে,Past,2nd_f
কাঁদাতেন,Past,pol_f
কাঁদাতেম,Past,1st
কাঁদান,Present,pol_f
কাঁদানো,Present,obj_f
কাঁদাব,Future,1st
কাঁদাবার,Present,404_f
কাঁদাবি,Future,1st
কাঁদাবে,Future,2nd_f
কাঁদাবেন,Future,pol_f
কাঁদাবো,Future,1st
কাঁদায়,Present,3rd_f
কাঁদার,Present,404_f
কাঁদাল,Past,3rd_f
কাঁদালাম,Past,1st
কাঁদালি,Past,1st
কাঁদালুম,Past,1st
কাঁদালে,Past,2nd_f
কাঁদালেন,Past,pol_f
কাঁদালেম,Past,1st
কাঁদাস,Present,2nd_i
কাঁদি,Present,1st
কাঁদিও,Present,2nd_f
কাঁদিত,Past,3rd_f
কাঁদিতাম,Past,1st
কাঁদিতিস,Past,2nd_i
কাঁদিতে,Past,2nd_f
কাঁদিতেছ,Present,2nd_f
কাঁদিতেছি,Present,1st
কাঁদিতেছিল,Past,3rd_f
কাঁদিতেছিলাম,Past,1st
কাঁদিতেছিলি,Past,1st
কাঁদিতেছিলে,Past,2nd_f
কাঁদিতেছিলেন,Past,pol_f
কাঁদিতেছিস,Present,2nd_i
কাঁদিতেছে,Present,2nd_f
কাঁদিতেছেন,Present,pol_f
কাঁদিতেন,Past,pol_f
কাঁদিব,Future,1st
কাঁদিবার,Present,404_f
কাঁদিবি,Future,1st
কাঁদিবে,Future,2nd_f
কাঁদিবেন,Future,pol_f
কাঁদিয়া,Participle,404_f
কাঁদিয়াছ,Present,2nd_f
কাঁদিয়াছি,Present,1st
কাঁদিয়াছিল,Past,3rd_f
কাঁদিয়াছিলাম,Past,1st
কাঁদিয়াছিলি,Past,1st
কাঁদিয়াছিলে,Past,2nd_f
কাঁদিয়াছিলেন,Past,pol_f
কাঁদিয়াছিস,Present,2nd_i
কাঁদিয়াছে,Present,3rd_f
কাঁদিয়াছেন,Present,pol_f
কাঁদিয়ে,Participle,404_f
কাঁদিয়েছ,Present,2nd_f
কাঁদিয়েছি,Present,1st
কাঁদিয়েছিল,Past,3rd_f
কাঁদিয়েছিলাম,Past,1st
কাঁদিয়েছিলি,Past,1st
কাঁদিয়েছিলুম,Past,1st
কাঁদিয়েছিলে,Past,2nd_f
কাঁদিয়েছিলেন,Past,pol_f
কাঁদিয়েছিলেম,Past,1st
কাঁদিয়েছিস,Present,2nd_i
কাঁদিয়েছে,Present,2nd_f
কাঁদিয়েছেন,Present,pol_f
কাঁদিয়ো,Present,2nd_f
কাঁদিল,Past,3rd_f
কাঁদিলাম,Past,1st
কাঁদিলি,Past,1st
কাঁদিলে,Past,2nd_f
কাঁদিলেন,Past,pol_f
কাঁদিস,Present,2nd_i
কাঁদুক,Present,3rd_f
কাঁদুন,Present,pol_f
কাঁদে,Present,3rd_f
কাঁদেন,Present,pol_f
কাঁদছ,Present,2nd_f
কাঁদছি,Present,1st
কাঁদছিল,Past,3rd_f
কাঁদছিলাম,Past,1st
কাঁদছিলি,Past,1st
কাঁদছিলুম,Past,1st
কাঁদছিলে,Past,2nd_f
কাঁদছিলেন,Past,pol_f
কাঁদছিলেম,Past,1st
কাঁদছিস,Present,2nd_i
কাঁদছে,Present,3rd_f
কাঁদছেন,Present,pol_f
কাঁদত,Past,3rd_f
কাঁদতাম,Past,1st
কাঁদতিস,Past,2nd_i
কাঁদতুম,Past,1st
কাঁদতে,Past,2nd_f
কাঁদতেন,Past,pol_f
কাঁদতেম,Past,1st
কাঁদব,Future,1st
কাঁদবার,Present,404_f
কাঁদবি,Future,1st
কাঁদবে,Future,2nd_f
কাঁদবেন,Future,pol_f
কাঁদবো,Future,1st
কাঁদল,Past,3rd_f
কাঁদলাম,Past,1st
কাঁদলি,Past,1st
কাঁদলুম,Past,1st
কাঁদলে,Past,2nd_f
কাঁদলেন,Past,pol_f
কাঁদলেম,Past,1st
খা,Root,2nd_i
খাই,Present,1st
খাইও,Present,2nd_f
খাইত,Past,3rd_f
খাইতাম,Past,1st
খাইতিস,Past,2nd_i
খাইতে,Past,2nd_f
খাইতেছ,Present,2nd_f
খাইতেছি,Present,1st
খাইতেছিল,Past,3rd_f
খাইতেছিলাম,Past,1st
খাইতেছিলি,Past,1st
খাইতেছিলে,Past,2nd_f
খাইতেছিলেন,Past,pol_f
খাইতেছিস,Present,2nd_i
খাইতেছে,Present,2nd_f
খাইতেছেন,Present,pol_f
খাইতেন,Past,pol_f
খাইব,Future,1st
খাইবার,Present,404_f
খাইবি,Future,1st
খাইবে,Future,2nd_f
খাইবেন,Future,pol_f
খাইয়া,Participle,404_f
খাইয়াছ,Present,2nd_f
খাইয়াছি,Present,1st
খাইয়াছিল,Past,3rd_f
খাইয়াছিলাম,Past,1st
খাইয়াছিলি,Past,1st
খাইয়াছিলে,Past,2nd_f
খাইয়াছিলেন,Past,pol_f
খাইয়াছিস,Present,2nd_i
খাইয়াছে,Present,3rd_f
খাইয়াছেন,Present,pol_f
খাইয়ে,Participle,404_f
খাইয়েছ,Present,2nd_f
খাইয়েছি,Present,1st
খাইয়েছিল,Past,3rd_f
খাইয়েছিলাম,Past,1st
খাইয়েছিলি,Past,1st
খাইয়েছিলুম,Past,1st
খাইয়েছিলে,Past,2nd_f
খাইয়েছিলেন,Past,pol_f
খাইয়েছিলেম,Past,1st
খাইয়েছিস,Present,2nd_i
খাইয়েছে,Present,2nd_f
খাইয়েছেন,Present,pol_f
খাইয়ো,Present,2nd_f
খাইল,Past,3rd_f
খাইলাম,Past,1st
খাইলি,Past,1st
খাইলে,Past,2nd_f
খাইলেন,Past,pol_f
খাও,Present,2nd_f
খাওয়া,Base,pos_f
খাওয়াই,Present,1st
খাওয়াইও,Present,2nd_f
খাওয়াইত,Past,3rd_f
খাওয়াইতাম,Past,1st
খাওয়াইতিস,Past,2nd_i
খাওয়াইতে,Past,2nd_f
খাওয়াইতেছ,Present,2nd_f
খাওয়াইতেছি,Present,1st
খাওয়াইতেছিল,Past,3rd_f
খাওয়াইতেছিলাম,Past,1st
খাওয়াইতেছিলি,Past,1st
খাওয়াইতেছিলে,Past,2nd_f
খাওয়াইতেছিলেন,Past,pol_f
খাওয়াইতেছিস,Present,2nd_i
খাওয়াইতেছে,Present,2nd_f
খাওয়াইতেছেন,Present,pol_f
খাওয়াইতেন,Past,pol_f
খাওয়াইব,Future,1st
খাওয়াইবার,Present,404_f
খাওয়াইবি,Future,1st
খাওয়াইবে,Future,2nd_f
খাওয়াইবেন,Future,pol_f
খাওয়াইয়া,Participle,404_f
খাওয়াইয়াছ,Present,2nd_f
খাওয়াইয়াছি,Present,1st
খাওয়াইয়াছিল,Past,3rd_f
খাওয়াইয়াছিলাম,Past,1st
খাওয়াইয়াছিলি,Past,1st
খাওয়াইয়াছিলে,Past,2nd_f
খাওয়াইয়াছিলেন,Past,pol_f
খাওয়াইয়াছিস,Present,2nd_i
খাওয়াইয়াছে,Present,3rd_f
খাওয়াইয়াছেন,Present,pol_f
খাওয়াইয়ো,Present,2nd_f
