Sentence,Tense
তোমাদেরকে আঁকানো প্রয়োজন,Present_Nrm
প্রয়োজন আঁকানো তোকে,Present_Nrm
তোদেরকে আঁকানো উচিৎ,Present_Nrm
তাকে আঁকানো উচিৎ,Present_Nrm
তাদেরকে উচিৎ আঁকানো,Present_Nrm
আপনাকে আঁকানো উচিত,Present_Nrm
আপনাদেরকে দরকার আঁকানো,Present_Nrm
উচিৎ আঁকানো উনাকে,Present_Nrm
উনাদেরকে আঁকানো উচিত,Present_Nrm
আমি এখনই আঁকাব,Future_Nrm
আগামীকাল আঁকাব আমরা,Future_Nrm
কোনো বাক্য তৈরি হয়নি,Error
তুই আগামীকাল আঁকাবি,Future_Nrm
তোরা আঁকাবি আগামীকাল,Future_Nrm
তুমি পরশু আঁকাবে,Future_Nrm
তোমরা এখন আঁকাবে,Future_Nrm
আপনি আঁকাবেন ভবিষ্যতে,Future_Nrm
আপনারা আজকে আঁকাবেন,Future_Nrm
শীঘ্রই আঁকাবেন উনি,Future_Nrm
আগামীকাল আঁকাবেন উনারা,Future_Nrm
তিনি আঁকাবেন এখনই,Future_Nrm
আজকে আঁকাবো আমি,Future_Nrm
আমরা আগামীকাল আঁকাবো,Future_Nrm
এখন আঁকায় সে,Present_Nrm
তারা বর্তমানে আঁকায়,Present_Nrm
কোনো বাক্য তৈরি হয়নি,Error
সে সেদিন আঁকাল,Past_Nrm
তারা আঁকাল এখনই,Past_Nrm
আমি আঁকালাম গতকাল,Past_Nrm
আমরা আজকে আঁকালাম,Past_Nrm
তুই এখন আঁকালি,Past_Nrm
পূর্বে আঁকালি তোরা,Past_Nrm
এখনই আঁকালুম আমি,Past_Nrm
পূর্বে আঁকালুম আমরা,Past_Nrm
তুমি আজ আঁকালে,Past_Nrm
তোমরা আঁকালে পূর্বে,Past_Nrm
আপনি এখন আঁকালেন,Past_Nrm
আপনারা গতকাল আঁকালেন,Past_Nrm
উনি এখনই আঁকালেন,Past_Nrm
উনারা আজ আঁকালেন,Past_Nrm
তিনি আজকে আঁকালেন,Past_Nrm
আমি গতকাল আঁকালেম,Past_Nrm
আমরা অতীতে আঁকালেম,Past_Nrm
তুই আঁকাস এখনই,Present_Nrm
তোরা আঁকাস এখন,Present_Nrm
বর্তমানে আঁকি আমি,Present_Nrm
আজকে আঁকি আমরা,Present_Nrm
তুমি এখন আঁকিও,Present_Nrm
তোমরা আঁকিও এখন,Present_Nrm
সে আঁকিত এখন,Past_Nrm
তারা আঁকিত আগে,Past_Nrm
আমি আঁকিতাম পূর্বে,Past_Nrm
আমরা আজকে আঁকিতাম,Past_Nrm
এখন আঁকিতিস তুই,Past_Nrm
তোরা আজকে আঁকিতিস,Past_Nrm
তুমি আজ আঁকিতে,Past_Nrm
আজকে আঁকিতে তোমরা,Past_Nrm
তুমি আঁকিতেছ বর্তমানে,Present_Nrm
এখনই আঁকিতেছ তোমরা,Present_Nrm
আমি এখনই আঁকিতেছি,Present_Nrm
আমরা বর্তমানে আঁকিতেছি,Present_Nrm
সে সেদিন আঁকিতেছিল,Past_Nrm
তারা সেদিন আঁকিতেছিল,Past_Nrm
এখনই আঁকিতেছিলাম আমি,Past_Nrm
এখনই আঁকিতেছিলাম আমরা,Past_Nrm
তুই আঁকিতেছিলি গতকাল,Past_Nrm
আজ আঁকিতেছিলি তোরা,Past_Nrm
তুমি এখনই আঁকিতেছিলে,Past_Nrm
সেদিন আঁকিতেছিলে তোমরা,Past_Nrm
আজকে আঁকিতেছিলেন আপনি,Past_Nrm
আপনারা পূর্বে আঁকিতেছিলেন,Past_Nrm
উনি আঁকিতেছিলেন আগে,Past_Nrm
উনারা আঁকিতেছিলেন এখনই,Past_Nrm
তিনি আজ আঁকিতেছিলেন,Past_Nrm
তুই বর্তমানে আঁকিতেছিস,Present_Nrm
তোরা আজকে আঁকিতেছিস,Present_Nrm
সে আজকে আঁকিতেছে,Present_Nrm
আজকে আঁকিতেছে তারা,Present_Nrm
আজ আঁকিতেছেন আপনি,Present_Nrm
আপনারা আঁকিতেছেন আজকে,Present_Nrm
উনি আঁকিতেছেন আজ,Present_Nrm
উনারা আঁকিতেছেন এখনই,Present_Nrm
তিনি এখন আঁকিতেছেন,Present_Nrm
এখন আঁকিতেন আপনি,Past_Nrm
সেদিন আঁকিতেন আপনারা,Past_Nrm
উনি আঁকিতেন আজ,Past_Nrm
সেদিন আঁকিতেন উনারা,Past_Nrm
তিনি আঁকিতেন অতীতে,Past_Nrm
এখনই আঁকিব আমি,Future_Nrm
আজ আঁকিব আমরা,Future_Nrm
কোনো বাক্য তৈরি হয়নি,Error
তুই আঁকিবি আজ,Future_Nrm
ভবিষ্যতে আঁকিবি তোরা,Future_Nrm
তুমি পরশু আঁকিবে,Future_Nrm
আগামীকাল আঁকিবে তোমরা,Future_Nrm
আপনি এখন আঁকিবেন,Future_Nrm
আপনারা আঁকিবেন শীঘ্রই,Future_Nrm
পরশু আঁকিবেন উনি,Future_Nrm
উনারা এখন আঁকিবেন,Future_Nrm
আগামিকাল আঁকিবেন তিনি,Future_Nrm
কোনো বাক্য তৈরি হয়নি,Error
তুমি আজ আঁকিয়াছ,Present_Nrm
তোমরা আজকে আঁকিয়াছ,Present_Nrm
আজ আঁকিয়াছি আমি,Present_Nrm
আমরা আজকে আঁকিয়াছি,Present_Nrm
সে এখন আঁকিয়াছিল,Past_Nrm
গতকাল আঁকিয়াছিল তারা,Past_Nrm
আমি পূর্বে আঁকিয়াছিলাম,Past_Nrm
আমরা এখনই আঁকিয়াছিলাম,Past_Nrm
এখন আঁকিয়াছিলি তুই,Past_Nrm
এখন আঁকিয়াছিলি তোরা,Past_Nrm
তুমি এখন আঁকিয়াছিলে,Past_Nrm
তোমরা আজকে আঁকিয়াছিলে,Past_Nrm
গতকাল আঁকিয়াছিলেন আপনি,Past_Nrm
আপনারা অতীতে আঁকিয়াছিলেন,Past_Nrm
উনি পূর্বে আঁকিয়াছিলেন,Past_Nrm
উনারা আগে আঁকিয়াছিলেন,Past_Nrm
এখন আঁকিয়াছিলেন তিনি,Past_Nrm
তুই বর্তমানে আঁকিয়াছিস,Present_Nrm
এখনই আঁকিয়াছিস তোরা,Present_Nrm
আজকে আঁকিয়াছে সে,Present_Nrm
তারা আঁকিয়াছে এখন,Present_Nrm
আপনি আজ আঁকিয়াছেন,Present_Nrm
আপনারা আঁকিয়াছেন আজকে,Present_Nrm
এখন আঁকিয়াছেন উনি,Present_Nrm
উনারা আজ আঁকিয়াছেন,Present_Nrm
তিনি আঁকিয়াছেন আজকে,Present_Nrm
কোনো বাক্য তৈরি হয়নি,Error
তুমি আঁকিয়েছ আজ,Present_Nrm
এখন আঁকিয়েছ তোমরা,Present_Nrm
আমি এখনই আঁকিয়েছি,Present_Nrm
আমরা এখনই আঁকিয়েছি,Present_Nrm
আজকে আঁকিয়েছিল সে,Past_Nrm
তারা আঁকিয়েছিল গতকাল,Past_Nrm
আমি আঁকিয়েছিলাম গতকাল,Past_Nrm
আমরা আঁকিয়েছিলাম এখন,Past_Nrm
গতকাল আঁকিয়েছিলি তুই,Past_Nrm
তোরা এখন আঁকিয়েছিলি,Past_Nrm
গতকাল আঁকিয়েছিলুম আমি,Past_Nrm
আমরা আঁকিয়েছিলুম অতীতে,Past_Nrm
তুমি আঁকিয়েছিলে আজকে,Past_Nrm
পূর্বে আঁকিয়েছিলে তোমরা,Past_Nrm
আজকে আঁকিয়েছিলেন আপনি,Past_Nrm
আজকে আঁকিয়েছিলেন আপনারা,Past_Nrm
উনি আঁকিয়েছিলেন সেদিন,Past_Nrm
উনারা এখনই আঁকিয়েছিলেন,Past_Nrm
তিনি এখন আঁকিয়েছিলেন,Past_Nrm
আমি এখন আঁকিয়েছিলেম,Past_Nrm
আমরা অতীতে আঁকিয়েছিলেম,Past_Nrm
এখনই আঁকিয়েছিস তুই,Present_Nrm
আজ আঁকিয়েছিস তোরা,Present_Nrm
সে আঁকিয়েছে আজ,Present_Nrm
তারা এখন আঁকিয়েছে,Present_Nrm
আপনি আঁকিয়েছেন এখনই,Present_Nrm
আপনারা এখনই আঁকিয়েছেন,Present_Nrm
উনি আঁকিয়েছেন আজ,Present_Nrm
উনারা এখন আঁকিয়েছেন,Present_Nrm
বর্তমানে আঁকিয়েছেন তিনি,Present_Nrm
তুমি এখন আঁকিয়ো,Present_Nrm
এখনই আঁকিয়ো তোমরা,Present_Nrm
সে এখন আঁকিল,Past_Nrm
সেদিন আঁকিল তারা,Past_Nrm
আজ আঁকিলাম আমি,Past_Nrm
অতীতে আঁকিলাম আমরা,Past_Nrm
তুই গতকাল আঁকিলি,Past_Nrm
তোরা আঁকিলি এখনই,Past_Nrm
তুমি এখনই আঁকিলে,Past_Nrm
আগে আঁকিলে তোমরা,Past_Nrm
আপনি আঁকিলেন অতীতে,Past_Nrm
আপনারা এখন আঁকিলেন,Past_Nrm
আগে আঁকিলেন উনি,Past_Nrm
উনারা আঁকিলেন সেদিন,Past_Nrm
সেদিন আঁকিলেন তিনি,Past_Nrm
তুই আঁকিস বর্তমানে,Present_Nrm
বর্তমানে আঁকিস তোরা,Present_Nrm
সে আজকে আঁকুক,Present_Nrm
বর্তমানে আঁকুক তারা,Present_Nrm
এখন আঁকুন আপনি,Present_Nrm
আপনারা আঁকুন এখনই,Present_Nrm
উনি আঁকুন বর্তমানে,Present_Nrm
উনারা আজকে আঁকুন,Present_Nrm
আজ আঁকুন তিনি,Present_Nrm
সে আজ আঁকে,Present_Nrm
তারা আঁকে আজকে,Present_Nrm
আপনি আঁকেন আজকে,Present_Nrm
আপনারা আঁকেন আজকে,Present_Nrm
এখন আঁকেন উনি,Present_Nrm
আজকে আঁকেন উনারা,Present_Nrm
তিনি এখনই আঁকেন,Present_Nrm
আজ আঁকছ তুমি,Present_Nrm
তোমরা আঁকছ বর্তমানে,Present_Nrm
আমি আজ আঁকছি,Present_Nrm
আমরা আঁকছি বর্তমানে,Present_Nrm
সে আঁকছিল আগে,Past_Nrm
তারা আঁকছিল অতীতে,Past_Nrm
আমি আঁকছিলাম এখন,Past_Nrm
এখন আঁকছিলাম আমরা,Past_Nrm
তুই আঁকছিলি পূর্বে,Past_Nrm
তোরা আঁকছিলি পূর্বে,Past_Nrm
এখনই আঁকছিলুম আমি,Past_Nrm
আমরা আঁকছিলুম পূর্বে,Past_Nrm
তুমি আঁকছিলে আজ,Past_Nrm
এখনই আঁকছিলে তোমরা,Past_Nrm
আপনি আজ আঁকছিলেন,Past_Nrm
গতকাল আঁকছিলেন আপনারা,Past_Nrm
উনি পূর্বে আঁকছিলেন,Past_Nrm
এখনই আঁকছিলেন উনারা,Past_Nrm
গতকাল আঁকছিলেন তিনি,Past_Nrm
আমি আজ আঁকছিলেম,Past_Nrm
আমরা আঁকছিলেম পূর্বে,Past_Nrm
তুই এখনই আঁকছিস,Present_Nrm
তোরা আঁকছিস এখন,Present_Nrm
সে আজ আঁকছে,Present_Nrm
তারা আঁকছে এখনই,Present_Nrm
আপনি আঁকছেন আজকে,Present_Nrm
আপনারা আঁকছেন আজ,Present_Nrm
উনি আঁকছেন আজ,Present_Nrm
বর্তমানে আঁকছেন উনারা,Present_Nrm
এখন আঁকছেন তিনি,Present_Nrm
উচিৎ আসা আমার,Present_Imp
আমাদের আসা উচিৎ,Present_Imp
তোমার আসা উচিত,Present_Imp
তোমাদের আসা উচিৎ,Present_Imp
তোর প্রয়োজন আসা,Present_Imp
প্রয়োজন আসা তোদের,Present_Imp
তার প্রয়োজন আসা,Present_Imp
তাদের আসা উচিত,Present_Imp
আপনার আসা দরকার,Present_Imp
প্রয়োজন আসা আপনাদের,Present_Imp
উনার আসা উচিৎ,Present_Imp
উনাদের আসা উচিত,Present_Imp
কোনো বাক্য তৈরি হয়নি,Error
আমি আজ আসি,Present_Nrm
আমরা আসি আজকে,Present_Nrm
আজকে আসিও তুমি,Present_Nrm
তোমরা বর্তমানে আসিও,Present_Nrm
সে আসিত পূর্বে,Past_Nrm
তারা আসিত গতকাল,Past_Nrm
আমি আসিতাম পূর্বে,Past_Nrm
আমরা আজকে আসিতাম,Past_Nrm
আজ আসিতিস তুই,Past_Nrm
তোরা আজ আসিতিস,Past_Nrm
তুমি এখনই আসিতে,Past_Nrm
তোমরা সেদিন আসিতে,Past_Nrm
আজকে আসিতেছ তুমি,Present_Nrm
তোমরা আসিতেছ এখনই,Present_Nrm
আমি এখনই আসিতেছি,Present_Nrm
আমরা আজ আসিতেছি,Present_Nrm
সে আসিতেছিল আজকে,Past_Nrm
তারা পূর্বে আসিতেছিল,Past_Nrm
আমি এখন আসিতেছিলাম,Past_Nrm
আজকে আসিতেছিলাম আমরা,Past_Nrm
তুই আসিতেছিলি এখন,Past_Nrm
পূর্বে আসিতেছিলি তোরা,Past_Nrm
তুমি আজ আসিতেছিলে,Past_Nrm
তোমরা আসিতেছিলে আজ,Past_Nrm
আপনি অতীতে আসিতেছিলেন,Past_Nrm
আপনারা আসিতেছিলেন এখনই,Past_Nrm
উনি আসিতেছিলেন এখন,Past_Nrm
উনারা অতীতে আসিতেছিলেন,Past_Nrm
তিনি আসিতেছিলেন আজকে,Past_Nrm
তুই এখনই আসিতেছিস,Present_Nrm
এখন আসিতেছিস তোরা,Present_Nrm
সে আজ আসিতেছে,Present_Nrm
তারা বর্তমানে আসিতেছে,Present_Nrm
আপনি আসিতেছেন আজ,Present_Nrm
আজ আসিতেছেন আপনারা,Present_Nrm
এখন আসিতেছেন উনি,Present_Nrm
উনারা আসিতেছেন এখনই,Present_Nrm
তিনি আসিতেছেন আজকে,Present_Nrm
আপনি আসিতেন পূর্বে,Past_Nrm
সেদিন আসিতেন আপনারা,Past_Nrm
উনি গতকাল আসিতেন,Past_Nrm
উনারা আসিতেন পূর্বে,Past_Nrm
তিনি এখন আসিতেন,Past_Nrm
আমি আগামীকাল আসিব,Future_Nrm
আমরা এখন আসিব,Future_Nrm
কোনো বাক্য তৈরি হয়নি,Error
তুই আগামিকাল আসিবি,Future_Nrm
তোরা শীঘ্রই আসিবি,Future_Nrm
তুমি আসিবে শীঘ্রই,Future_Nrm
তোমরা আসিবে আগামিকাল,Future_Nrm
আপনি আজকে আসিবেন,Future_Nrm
আপনারা আগামীকাল আসিবেন,Future_Nrm
উনি ভবিষ্যতে আসিবেন,Future_Nrm
এখন আসিবেন উনারা,Future_Nrm
আগামীকাল আসিবেন তিনি,Future_Nrm
কোনো বাক্য তৈরি হয়নি,Error
তুমি এখন আসিয়াছ,Present_Nrm
তোমরা এখনই আসিয়াছ,Present_Nrm
বর্তমানে আসিয়াছি আমি,Present_Nrm
আমরা আসিয়াছি আজকে,Present_Nrm
সে গতকাল আসিয়াছিল,Past_Nrm
অতীতে আসিয়াছিল তারা,Past_Nrm
আমি আসিয়াছিলাম অতীতে,Past_Nrm
গতকাল আসিয়াছিলাম আমরা,Past_Nrm
তুই আগে আসিয়াছিলি,Past_Nrm
আজ আসিয়াছিলি তোরা,Past_Nrm
তুমি আসিয়াছিলে এখন,Past_Nrm
তোমরা অতীতে আসিয়াছিলে,Past_Nrm
এখনই আসিয়াছিলেন আপনি,Past_Nrm
এখনই আসিয়াছিলেন আপনারা,Past_Nrm
আগে আসিয়াছিলেন উনি,Past_Nrm
অতীতে আসিয়াছিলেন উনারা,Past_Nrm
তিনি আসিয়াছিলেন আজকে,Past_Nrm
তুই এখন আসিয়াছিস,Present_Nrm
তোরা আসিয়াছিস এখনই,Present_Nrm
আজকে আসিয়াছে সে,Present_Nrm
তারা আজকে আসিয়াছে,Present_Nrm
আপনি আসিয়াছেন এখন,Present_Nrm
আপনারা আসিয়াছেন আজকে,Present_Nrm
উনি আসিয়াছেন এখন,Present_Nrm
এখনই আসিয়াছেন উনারা,Present_Nrm
তিনি এখন আসিয়াছেন,Present_Nrm
তুমি আসিয়ো আজ,Present_Nrm
তোমরা বর্তমানে আসিয়ো,Present_Nrm
সে এখন আসিল,Past_Nrm
অতীতে আসিল তারা,Past_Nrm
আমি আসিলাম সেদিন,Past_Nrm
আমরা আসিলাম গতকাল,Past_Nrm
তুই আসিলি আজ,Past_Nrm
তোরা আসিলি এখন,Past_Nrm
আজকে আসিলে তুমি,Past_Nrm
তোমরা আসিলে আগে,Past_Nrm
আপনি আসিলেন অতীতে,Past_Nrm
আপনারা আজ আসিলেন,Past_Nrm
উনি আসিলেন আজ,Past_Nrm
উনারা আসিলেন সেদিন,Past_Nrm
তিনি এখনই আসিলেন,Past_Nrm
তুই এখন আসিস,Present_Nrm
তোরা বর্তমানে আসিস,Present_Nrm
সে আসুক এখন,Present_Nrm
তারা আসুক এখনই,Present_Nrm
আপনি আজকে আসুন,Present_Nrm
আজকে আসুন আপনারা,Present_Nrm
উনি এখনই আসুন,Present_Nrm
আজকে আসুন উনারা,Present_Nrm
তিনি আজকে আসুন,Present_Nrm
এখনই আসে সে,Present_Nrm
এখন আসে তারা,Present_Nrm
এখন আসেন আপনি,Present_Nrm
আপনারা আজকে আসেন,Present_Nrm
এখনই আসেন উনি,Present_Nrm
উনারা আসেন এখন,Present_Nrm
আজ আসেন তিনি,Present_Nrm
আজ আসছ তুমি,Present_Nrm
তোমরা আসছ এখন,Present_Nrm
আমি আসছি আজ,Present_Nrm
আমরা আজ আসছি,Present_Nrm
সে আসছিল পূর্বে,Past_Nrm
তারা এখন আসছিল,Past_Nrm
গতকাল আসছিলাম আমি,Past_Nrm
আমরা আসছিলাম পূর্বে,Past_Nrm
তুই আজকে আসছিলি,Past_Nrm
এখন আসছিলি তোরা,Past_Nrm
আমি গতকাল আসছিলুম,Past_Nrm
আমরা আজ আসছিলুম,Past_Nrm
আগে আসছিলে তুমি,Past_Nrm
এখন আসছিলে তোমরা,Past_Nrm
পূর্বে আসছিলেন আপনি,Past_Nrm
সেদিন আসছিলেন আপনারা,Past_Nrm
পূর্বে আসছিলেন উনি,Past_Nrm
গতকাল আসছিলেন উনারা,Past_Nrm
গতকাল আসছিলেন তিনি,Past_Nrm
আমি আসছিলেম আজ,Past_Nrm
আগে আসছিলেম আমরা,Past_Nrm
তুই আজকে আসছিস,Present_Nrm
তোরা আসছিস এখন,Present_Nrm
বর্তমানে আসছে সে,Present_Nrm
তারা আসছে আজ,Present_Nrm
আপনি আজকে আসছেন,Present_Nrm
আপনারা আজ আসছেন,Present_Nrm
বর্তমানে আসছেন উনি,Present_Nrm
উনারা এখন আসছেন,Present_Nrm
এখনই আসছেন তিনি,Present_Nrm
সে আসত আজকে,Past_Nrm
তারা গতকাল আসত,Past_Nrm
আমি এখন আসতাম,Past_Nrm
আমরা অতীতে আসতাম,Past_Nrm
তুই আসতিস গতকাল,Past_Nrm
তোরা অতীতে আসতিস,Past_Nrm
