Id,Sentence,Tense
74,তারা এখন আঁকাইয়াছিল,Past_Nrm
75,আমি আঁকাইয়াছিলাম আজকে,Past_Nrm
76,আমরা সেদিন আঁকাইয়াছিলাম,Past_Nrm
77,তুই আঁকাইয়াছিলি পূর্বে,Past_Nrm
78,তোরা আঁকাইয়াছিলি এখনই,Past_Nrm
79,আজ আঁকাইয়াছিলে তুমি,Past_Nrm
80,তোমরা আঁকাইয়াছিলে এখনই,Past_Nrm
81,আপনি এখনই আঁকাইয়াছিলেন,Past_Nrm
82,আপনারা অতীতে আঁকাইয়াছিলেন,Past_Nrm
83,উনি আগে আঁকাইয়াছিলেন,Past_Nrm
84,উনারা আঁকাইয়াছিলেন আজ,Past_Nrm
85,আগে আঁকাইয়াছিলেন তিনি,Past_Nrm
86,এখন আঁকাইয়াছিস তুই,Present_Nrm
87,এখন আঁকাইয়াছিস তোরা,Present_Nrm
88,সে আঁকাইয়াছে আজ,Present_Nrm
89,বর্তমানে আঁকাইয়াছে তারা,Present_Nrm
90,এখনই আঁকাইয়াছেন আপনি,Present_Nrm
91,আপনারা বর্তমানে আঁকাইয়াছেন,Present_Nrm
92,উনি এখন আঁকাইয়াছেন,Present_Nrm
93,এখনই আঁকাইয়াছেন উনারা,Present_Nrm
94,তিনি আজ আঁকাইয়াছেন,Present_Nrm
95,এখনই আঁকাইয়ো তুমি,Present_Nrm
96,আজ আঁকাইয়ো তোমরা,Present_Nrm
97,সে আঁকাইল পূর্বে,Past_Nrm
98,তারা আঁকাইল আজকে,Past_Nrm
99,আমি আগে আঁকাইলাম,Past_Nrm
100,আমরা আঁকাইলাম আগে,Past_Nrm
101,তুই অতীতে আঁকাইলি,Past_Nrm
102,তোরা আজকে আঁকাইলি,Past_Nrm
103,আজকে আঁকাইলে তুমি,Past_Nrm
104,তোমরা আঁকাইলে আগে,Past_Nrm
105,গতকাল আঁকাইলেন আপনি,Past_Nrm
106,আপনারা গতকাল আঁকাইলেন,Past_Nrm
107,উনি এখনই আঁকাইলেন,Past_Nrm
108,উনারা আঁকাইলেন এখন,Past_Nrm
109,পূর্বে আঁকাইলেন তিনি,Past_Nrm
110,তুমি বর্তমানে আঁকাও,Present_Nrm
111,তোমরা এখনই আঁকাও,Present_Nrm
112,সে আঁকাক এখনই,Present_Nrm
113,তারা আঁকাক এখনই,Present_Nrm
114,তুমি আঁকাচ্ছ বর্তমানে,Present_Nrm
115,তোমরা আঁকাচ্ছ বর্তমানে,Present_Nrm
116,বর্তমানে আঁকাচ্ছি আমি,Present_Nrm
117,আমরা আঁকাচ্ছি এখনই,Present_Nrm
118,সে আঁকাচ্ছিল গতকাল,Past_Nrm
119,তারা আজকে আঁকাচ্ছিল,Past_Nrm
120,আজ আঁকাচ্ছিলাম আমি,Past_Nrm
121,অতীতে আঁকাচ্ছিলাম আমরা,Past_Nrm
122,তুই আঁকাচ্ছিলি এখন,Past_Nrm
123,তোরা আঁকাচ্ছিলি আগে,Past_Nrm
124,আমি আগে আঁকাচ্ছিলুম,Past_Nrm
125,আমরা আঁকাচ্ছিলুম সেদিন,Past_Nrm
126,আজ আঁকাচ্ছিলে তুমি,Past_Nrm
127,গতকাল আঁকাচ্ছিলে তোমরা,Past_Nrm
128,আপনি আঁকাচ্ছিলেন সেদিন,Past_Nrm
129,আজকে আঁকাচ্ছিলেন আপনারা,Past_Nrm
130,উনি আঁকাচ্ছিলেন আজ,Past_Nrm
131,উনারা আঁকাচ্ছিলেন গতকাল,Past_Nrm
132,তিনি আঁকাচ্ছিলেন আগে,Past_Nrm
133,অতীতে আঁকাচ্ছিলেম আমি,Past_Nrm
134,আমরা আঁকাচ্ছিলেম আগে,Past_Nrm
135,এখনই আঁকাচ্ছিস তুই,Present_Nrm
136,এখন আঁকাচ্ছিস তোরা,Present_Nrm
137,আজ আঁকাচ্ছে সে,Present_Nrm
138,তারা বর্তমানে আঁকাচ্ছে,Present_Nrm
139,আপনি এখনই আঁকাচ্ছেন,Present_Nrm
140,আপনারা আজ আঁকাচ্ছেন,Present_Nrm
141,উনি আঁকাচ্ছেন আজকে,Present_Nrm
142,উনারা আজ আঁকাচ্ছেন,Present_Nrm
143,বর্তমানে আঁকাচ্ছেন তিনি,Present_Nrm
144,সে আঁকাত এখন,Past_Nrm
145,তারা আঁকাত আজকে,Past_Nrm
146,আমি এখন আঁকাতাম,Past_Nrm
147,অতীতে আঁকাতাম আমরা,Past_Nrm
148,এখন আঁকাতিস তুই,Past_Nrm
149,তোরা আঁকাতিস আজ,Past_Nrm
150,অতীতে আঁকাতুম আমি,Past_Nrm
151,আমরা আঁকাতুম সেদিন,Past_Nrm
152,তুমি আঁকাতে এখনই,Past_Nrm
153,এখন আঁকাতে তোমরা,Past_Nrm
154,আপনি আঁকাতেন আগে,Past_Nrm
155,আপনারা আঁকাতেন অতীতে,Past_Nrm
156,উনি আঁকাতেন গতকাল,Past_Nrm
157,উনারা আঁকাতেন আজ,Past_Nrm
158,তিনি আজকে আঁকাতেন,Past_Nrm
159,আমি আজকে আঁকাতেম,Past_Nrm
160,আমরা আঁকাতেম পূর্বে,Past_Nrm
161,বর্তমানে আঁকান আপনি,Present_Nrm
162,আজকে আঁকান আপনারা,Present_Nrm
163,উনি আঁকান বর্তমানে,Present_Nrm
164,আজকে আঁকান উনারা,Present_Nrm
165,আজ আঁকান তিনি,Present_Nrm
166,উচিৎ আঁকানো আমাকে,Present_Nrm
167,দরকার আঁকানো আমাদেরকে,Present_Nrm
168,তোমাকে প্রয়োজন আঁকানো,Present_Nrm
169,তোমাদেরকে আঁকানো উচিত,Present_Nrm
170,তোকে দরকার আঁকানো,Present_Nrm
171,তোদেরকে আঁকানো প্রয়োজন,Present_Nrm
172,তাকে দরকার আঁকানো,Present_Nrm
173,তাদেরকে দরকার আঁকানো,Present_Nrm
174,উচিত আঁকানো আপনাকে,Present_Nrm
175,আপনাদেরকে দরকার আঁকানো,Present_Nrm
176,দরকার আঁকানো উনাকে,Present_Nrm
177,উনাদেরকে দরকার আঁকানো,Present_Nrm
178,আমি আঁকাব এখনই,Future_Nrm
179,আমরা আঁকাব ভবিষ্যতে,Future_Nrm
180,তুই পরশু আঁকাবি,Future_Nrm
181,তোরা আঁকাবি এখন,Future_Nrm
182,পরশু আঁকাবে তুমি,Future_Nrm
183,তোমরা আঁকাবে পরশু,Future_Nrm
184,আপনি আগামিকাল আঁকাবেন,Future_Nrm
185,আপনারা আগামিকাল আঁকাবেন,Future_Nrm
186,উনি আঁকাবেন আজ,Future_Nrm
187,পরশু আঁকাবেন উনারা,Future_Nrm
188,তিনি এখন আঁকাবেন,Future_Nrm
189,আজকে আঁকাবো আমি,Future_Nrm
190,আমরা ভবিষ্যতে আঁকাবো,Future_Nrm
191,সে আঁকায় আজকে,Present_Nrm
192,এখনই আঁকায় তারা,Present_Nrm
193,সে আঁকাল গতকাল,Past_Nrm
194,এখনই আঁকাল তারা,Past_Nrm
195,আমি আঁকালাম এখনই,Past_Nrm
196,এখনই আঁকালাম আমরা,Past_Nrm
197,তুই আজ আঁকালি,Past_Nrm
198,এখন আঁকালি তোরা,Past_Nrm
199,আমি গতকাল আঁকালুম,Past_Nrm
200,আমরা আঁকালুম আজ,Past_Nrm
201,তুমি আঁকালে আজ,Past_Nrm
202,তোমরা আগে আঁকালে,Past_Nrm
203,আপনি আগে আঁকালেন,Past_Nrm
204,আপনারা পূর্বে আঁকালেন,Past_Nrm
205,এখন আঁকালেন উনি,Past_Nrm
206,উনারা আঁকালেন আজ,Past_Nrm
207,তিনি আঁকালেন পূর্বে,Past_Nrm
208,আমি আঁকালেম এখনই,Past_Nrm
209,আমরা আঁকালেম আজকে,Past_Nrm
210,তুই আঁকাস এখন,Present_Nrm
211,তোরা এখনই আঁকাস,Present_Nrm
212,আমি আঁকি আজকে,Present_Nrm
213,আমরা আজকে আঁকি,Present_Nrm
214,তুমি আঁকিও বর্তমানে,Present_Nrm
215,তোমরা আঁকিও আজকে,Present_Nrm
216,সে আঁকিত আগে,Past_Nrm
217,তারা আগে আঁকিত,Past_Nrm
218,আমি এখনই আঁকিতাম,Past_Nrm
219,আমরা গতকাল আঁকিতাম,Past_Nrm
220,তুই অতীতে আঁকিতিস,Past_Nrm
221,তোরা আজ আঁকিতিস,Past_Nrm
222,তুমি আগে আঁকিতে,Past_Nrm
223,সেদিন আঁকিতে তোমরা,Past_Nrm
224,এখনই আঁকিতেছ তুমি,Present_Nrm
225,আজ আঁকিতেছ তোমরা,Present_Nrm
226,আমি এখনই আঁকিতেছি,Present_Nrm
227,আমরা আজকে আঁকিতেছি,Present_Nrm
228,সে গতকাল আঁকিতেছিল,Past_Nrm
229,আগে আঁকিতেছিল তারা,Past_Nrm
230,আমি আগে আঁকিতেছিলাম,Past_Nrm
231,আমরা এখনই আঁকিতেছিলাম,Past_Nrm
232,তুই আঁকিতেছিলি আজ,Past_Nrm
233,তোরা পূর্বে আঁকিতেছিলি,Past_Nrm
234,পূর্বে আঁকিতেছিলে তুমি,Past_Nrm
235,আজ আঁকিতেছিলে তোমরা,Past_Nrm
236,আপনি আঁকিতেছিলেন আজকে,Past_Nrm
237,আপনারা আঁকিতেছিলেন এখনই,Past_Nrm
238,উনি আঁকিতেছিলেন এখনই,Past_Nrm
239,উনারা আঁকিতেছিলেন অতীতে,Past_Nrm
240,তিনি আজ আঁকিতেছিলেন,Past_Nrm
241,বর্তমানে আঁকিতেছিস তুই,Present_Nrm
242,তোরা এখন আঁকিতেছিস,Present_Nrm
243,সে আঁকিতেছে বর্তমানে,Present_Nrm
244,তারা এখন আঁকিতেছে,Present_Nrm
245,আপনি আঁকিতেছেন এখনই,Present_Nrm
246,আপনারা আঁকিতেছেন আজকে,Present_Nrm
247,উনি আজকে আঁকিতেছেন,Present_Nrm
248,উনারা আঁকিতেছেন এখন,Present_Nrm
249,তিনি আজ আঁকিতেছেন,Present_Nrm
250,আপনি আঁকিতেন এখনই,Past_Nrm
251,আপনারা আঁকিতেন এখন,Past_Nrm
252,উনি আঁকিতেন আজকে,Past_Nrm
253,উনারা আঁকিতেন আজকে,Past_Nrm
254,আজ আঁকিতেন তিনি,Past_Nrm
255,আমি আগামীকাল আঁকিব,Future_Nrm
256,আমরা আজ আঁকিব,Future_Nrm
257,তুই আগামীকাল আঁকিবি,Future_Nrm
258,তোরা আঁকিবি আজ,Future_Nrm
259,ভবিষ্যতে আঁকিবে তুমি,Future_Nrm
260,তোমরা এখন আঁকিবে,Future_Nrm
261,আপনি আঁকিবেন আগামিকাল,Future_Nrm
262,আপনারা আগামীকাল আঁকিবেন,Future_Nrm
263,উনি ভবিষ্যতে আঁকিবেন,Future_Nrm
264,উনারা আগামিকাল আঁকিবেন,Future_Nrm
265,এখন আঁকিবেন তিনি,Future_Nrm
266,তুমি আঁকিয়াছ এখন,Present_Nrm
267,আজ আঁকিয়াছ তোমরা,Present_Nrm
268,এখনই আঁকিয়াছি আমি,Present_Nrm
269,আমরা আজ আঁকিয়াছি,Present_Nrm
270,পূর্বে আঁকিয়াছিল সে,Past_Nrm
271,তারা আঁকিয়াছিল আজকে,Past_Nrm
272,আমি সেদিন আঁকিয়াছিলাম,Past_Nrm
273,আমরা আঁকিয়াছিলাম পূর্বে,Past_Nrm
274,গতকাল আঁকিয়াছিলি তুই,Past_Nrm
275,তোরা আগে আঁকিয়াছিলি,Past_Nrm
276,তুমি আঁকিয়াছিলে অতীতে,Past_Nrm
277,তোমরা আঁকিয়াছিলে আগে,Past_Nrm
278,এখন আঁকিয়াছিলেন আপনি,Past_Nrm
279,আপনারা আজকে আঁকিয়াছিলেন,Past_Nrm
280,অতীতে আঁকিয়াছিলেন উনি,Past_Nrm
281,উনারা আঁকিয়াছিলেন আজ,Past_Nrm
282,আজকে আঁকিয়াছিলেন তিনি,Past_Nrm
283,আজ আঁকিয়াছিস তুই,Present_Nrm
284,এখন আঁকিয়াছিস তোরা,Present_Nrm
285,সে আজকে আঁকিয়াছে,Present_Nrm
286,তারা এখন আঁকিয়াছে,Present_Nrm
287,আপনি আজ আঁকিয়াছেন,Present_Nrm
288,বর্তমানে আঁকিয়াছেন আপনারা,Present_Nrm
289,উনি বর্তমানে আঁকিয়াছেন,Present_Nrm
290,বর্তমানে আঁকিয়াছেন উনারা,Present_Nrm
291,আজকে আঁকিয়াছেন তিনি,Present_Nrm
292,তুমি আঁকিয়েছ এখনই,Present_Nrm
293,তোমরা আঁকিয়েছ এখন,Present_Nrm
294,এখন আঁকিয়েছি আমি,Present_Nrm
295,বর্তমানে আঁকিয়েছি আমরা,Present_Nrm
296,এখন আঁকিয়েছিল সে,Past_Nrm
297,তারা আঁকিয়েছিল পূর্বে,Past_Nrm
298,অতীতে আঁকিয়েছিলাম আমি,Past_Nrm
299,আমরা আঁকিয়েছিলাম অতীতে,Past_Nrm
300,তুই আঁকিয়েছিলি আজ,Past_Nrm
301,সেদিন আঁকিয়েছিলি তোরা,Past_Nrm
302,আমি আজকে আঁকিয়েছিলুম,Past_Nrm
303,আমরা আঁকিয়েছিলুম অতীতে,Past_Nrm
304,গতকাল আঁকিয়েছিলে তুমি,Past_Nrm
305,অতীতে আঁকিয়েছিলে তোমরা,Past_Nrm
306,আপনি আজ আঁকিয়েছিলেন,Past_Nrm
307,আপনারা অতীতে আঁকিয়েছিলেন,Past_Nrm
308,এখনই আঁকিয়েছিলেন উনি,Past_Nrm
309,এখনই আঁকিয়েছিলেন উনারা,Past_Nrm
310,তিনি আঁকিয়েছিলেন আগে,Past_Nrm
311,আমি আজ আঁকিয়েছিলেম,Past_Nrm
312,আমরা আঁকিয়েছিলেম পূর্বে,Past_Nrm
313,তুই আজ আঁকিয়েছিস,Present_Nrm
314,তোরা বর্তমানে আঁকিয়েছিস,Present_Nrm
315,সে বর্তমানে আঁকিয়েছে,Present_Nrm
316,এখনই আঁকিয়েছে তারা,Present_Nrm
317,আপনি আঁকিয়েছেন এখন,Present_Nrm
318,আপনারা আজকে আঁকিয়েছেন,Present_Nrm
319,উনি আঁকিয়েছেন এখন,Present_Nrm
320,বর্তমানে আঁকিয়েছেন উনারা,Present_Nrm
321,এখন আঁকিয়েছেন তিনি,Present_Nrm
322,তুমি আঁকিয়ো আজকে,Present_Nrm
323,তোমরা আঁকিয়ো এখনই,Present_Nrm
324,সে আঁকিল এখন,Past_Nrm
325,আজ আঁকিল তারা,Past_Nrm
326,এখন আঁকিলাম আমি,Past_Nrm
327,আমরা আঁকিলাম আজকে,Past_Nrm
328,আজ আঁকিলি তুই,Past_Nrm
329,তোরা পূর্বে আঁকিলি,Past_Nrm
330,আগে আঁকিলে তুমি,Past_Nrm
331,এখনই আঁকিলে তোমরা,Past_Nrm
332,আপনি আগে আঁকিলেন,Past_Nrm
333,আপনারা আগে আঁকিলেন,Past_Nrm
334,উনি আজকে আঁকিলেন,Past_Nrm
335,উনারা আঁকিলেন অতীতে,Past_Nrm
336,তিনি আঁকিলেন সেদিন,Past_Nrm
337,তুই বর্তমানে আঁকিস,Present_Nrm
338,আজ আঁকিস তোরা,Present_Nrm
339,সে আজ আঁকুক,Present_Nrm
340,তারা আঁকুক বর্তমানে,Present_Nrm
341,আপনি আঁকুন এখনই,Present_Nrm
342,আপনারা এখনই আঁকুন,Present_Nrm
343,উনি বর্তমানে আঁকুন,Present_Nrm
344,উনারা আঁকুন এখন,Present_Nrm
345,তিনি আঁকুন এখন,Present_Nrm
346,সে আজকে আঁকে,Present_Nrm
347,তারা আজ আঁকে,Present_Nrm
348,আপনি আঁকেন এখনই,Present_Nrm
349,আপনারা আঁকেন বর্তমানে,Present_Nrm
350,আজকে আঁকেন উনি,Present_Nrm
351,এখন আঁকেন উনারা,Present_Nrm
352,এখন আঁকেন তিনি,Present_Nrm
353,তুমি আঁকছ এখনই,Present_Nrm
354,তোমরা এখনই আঁকছ,Present_Nrm
355,আমি আঁকছি এখন,Present_Nrm
356,আমরা আঁকছি এখন,Present_Nrm
357,সে পূর্বে আঁকছিল,Past_Nrm
358,অতীতে আঁকছিল তারা,Past_Nrm
359,আমি আগে আঁকছিলাম,Past_Nrm
360,আমরা আজ আঁকছিলাম,Past_Nrm
361,তুই গতকাল আঁকছিলি,Past_Nrm
362,এখন আঁকছিলি তোরা,Past_Nrm
363,আমি পূর্বে আঁকছিলুম,Past_Nrm
364,আমরা আজ আঁকছিলুম,Past_Nrm
365,তুমি এখন আঁকছিলে,Past_Nrm
366,তোমরা পূর্বে আঁকছিলে,Past_Nrm
367,আগে আঁকছিলেন আপনি,Past_Nrm
368,অতীতে আঁকছিলেন আপনারা,Past_Nrm
369,উনি এখনই আঁকছিলেন,Past_Nrm
370,উনারা আজ আঁকছিলেন,Past_Nrm
371,অতীতে আঁকছিলেন তিনি,Past_Nrm
372,এখনই আঁকছিলেম আমি,Past_Nrm
373,আমরা আঁকছিলেম সেদিন,Past_Nrm
374,এখন আঁকছিস তুই,Present_Nrm
375,তোরা এখন আঁকছিস,Present_Nrm
376,সে আঁকছে বর্তমানে,Present_Nrm
377,তারা বর্তমানে আঁকছে,Present_Nrm
378,বর্তমানে আঁকছেন আপনি,Present_Nrm
379,এখন আঁকছেন আপনারা,Present_Nrm
380,উনি আজ আঁকছেন,Present_Nrm
381,উনারা আঁকছেন এখন,Present_Nrm
382,তিনি আঁকছেন বর্তমানে,Present_Nrm
383,উচিৎ আসা আমার,Present_Imp
384,আমাদের আসা প্রয়োজন,Present_Imp
385,তোমার দরকার আসা,Present_Imp
386,উচিত আসা তোমাদের,Present_Imp
387,তোর দরকার আসা,Present_Imp
388,তোদের উচিৎ আসা,Present_Imp
389,উচিৎ আসা তার,Present_Imp
390,তাদের উচিৎ আসা,Present_Imp
391,আপনার আসা উচিৎ,Present_Imp
392,আপনাদের উচিত আসা,Present_Imp
393,উনার আসা উচিত,Present_Imp
394,উনাদের আসা দরকার,Present_Imp
395,আমি আসি এখনই,Present_Nrm
396,আমরা আজ আসি,Present_Nrm
397,তুমি এখনই আসিও,Present_Nrm
398,তোমরা আজ আসিও,Present_Nrm
399,সে আসিত পূর্বে,Past_Nrm
400,তারা আসিত এখনই,Past_Nrm
401,পূর্বে আসিতাম আমি,Past_Nrm
402,আমরা আগে আসিতাম,Past_Nrm
403,আজকে আসিতিস তুই,Past_Nrm
404,পূর্বে আসিতিস তোরা,Past_Nrm
405,তুমি আসিতে এখনই,Past_Nrm
406,তোমরা আসিতে আজ,Past_Nrm
407,আজকে আসিতেছ তুমি,Present_Nrm
408,বর্তমানে আসিতেছ তোমরা,Present_Nrm
409,আমি আসিতেছি আজকে,Present_Nrm
410,আমরা আসিতেছি এখনই,Present_Nrm
411,সে আসিতেছিল আজ,Past_Nrm
412,পূর্বে আসিতেছিল তারা,Past_Nrm
413,আমি আগে আসিতেছিলাম,Past_Nrm
414,আমরা আসিতেছিলাম অতীতে,Past_Nrm
415,তুই পূর্বে আসিতেছিলি,Past_Nrm
416,তোরা এখনই আসিতেছিলি,Past_Nrm
417,তুমি এখনই আসিতেছিলে,Past_Nrm
418,আজকে আসিতেছিলে তোমরা,Past_Nrm
419,আজ আসিতেছিলেন আপনি,Past_Nrm
420,সেদিন আসিতেছিলেন আপনারা,Past_Nrm
421,উনি আসিতেছিলেন সেদিন,Past_Nrm
422,উনারা আসিতেছিলেন পূর্বে,Past_Nrm
423,তিনি আজ আসিতেছিলেন,Past_Nrm
424,তুই বর্তমানে আসিতেছিস,Present_Nrm
425,এখনই আসিতেছিস তোরা,Present_Nrm
426,সে আসিতেছে এখন,Present_Nrm
427,এখন আসিতেছে তারা,Present_Nrm
428,আপনি আজ আসিতেছেন,Present_Nrm
429,আজ আসিতেছেন আপনারা,Present_Nrm
430,উনি আজকে আসিতেছেন,Present_Nrm
431,উনারা আসিতেছেন আজকে,Present_Nrm
432,তিনি আজ আসিতেছেন,Present_Nrm
433,আপনি অতীতে আসিতেন,Past_Nrm
434,অতীতে আসিতেন আপনারা,Past_Nrm
435,উনি গতকাল আসিতেন,Past_Nrm
436,আজ আসিতেন উনারা,Past_Nrm
437,তিনি সেদিন আসিতেন,Past_Nrm
438,আমি ভবিষ্যতে আসিব,Future_Nrm
439,আজ আসিব আমরা,Future_Nrm
440,তুই আসিবি এখনই,Future_Nrm
441,তোরা আজ আসিবি,Future_Nrm
442,তুমি আসিবে ভবিষ্যতে,Future_Nrm
443,তোমরা আসিবে এখনই,Future_Nrm
444,শীঘ্রই আসিবেন আপনি,Future_Nrm
445,পরশু আসিবেন আপনারা,Future_Nrm
446,আজকে আসিবেন উনি,Future_Nrm
447,উনারা আসিবেন এখন,Future_Nrm
448,তিনি আসিবেন পরশু,Future_Nrm
449,এখন আসিয়াছ তুমি,Present_Nrm
450,এখন আসিয়াছ তোমরা,Present_Nrm
451,আমি বর্তমানে আসিয়াছি,Present_Nrm
452,আমরা আসিয়াছি আজকে,Present_Nrm
453,সে আগে আসিয়াছিল,Past_Nrm
454,তারা আসিয়াছিল এখন,Past_Nrm
455,আমি আজ আসিয়াছিলাম,Past_Nrm
456,আমরা আসিয়াছিলাম গতকাল,Past_Nrm
457,তুই আসিয়াছিলি গতকাল,Past_Nrm
458,তোরা আসিয়াছিলি এখনই,Past_Nrm
459,তুমি আজ আসিয়াছিলে,Past_Nrm
460,আগে আসিয়াছিলে তোমরা,Past_Nrm
461,অতীতে আসিয়াছিলেন আপনি,Past_Nrm
462,আজকে আসিয়াছিলেন আপনারা,Past_Nrm
463,গতকাল আসিয়াছিলেন উনি,Past_Nrm
464,সেদিন আসিয়াছিলেন উনারা,Past_Nrm
465,তিনি আসিয়াছিলেন আজ,Past_Nrm
466,আজ আসিয়াছিস তুই,Present_Nrm
467,আজকে আসিয়াছিস তোরা,Present_Nrm
468,সে আসিয়াছে বর্তমানে,Present_Nrm
469,তারা আসিয়াছে আজকে,Present_Nrm
470,আজ আসিয়াছেন আপনি,Present_Nrm
471,এখন আসিয়াছেন আপনারা,Present_Nrm
472,উনি এখন আসিয়াছেন,Present_Nrm
473,আজকে আসিয়াছেন উনারা,Present_Nrm
474,তিনি আজ আসিয়াছেন,Present_Nrm
475,তুমি আসিয়ো বর্তমানে,Present_Nrm
476,তোমরা এখন আসিয়ো,Present_Nrm
477,সে আসিল আজকে,Past_Nrm
478,তারা সেদিন আসিল,Past_Nrm
479,আমি আগে আসিলাম,Past_Nrm
480,পূর্বে আসিলাম আমরা,Past_Nrm
481,পূর্বে আসিলি তুই,Past_Nrm
482,এখনই আসিলি তোরা,Past_Nrm
483,অতীতে আসিলে তুমি,Past_Nrm
484,তোমরা আসিলে অতীতে,Past_Nrm
485,আপনি আসিলেন আজ,Past_Nrm
486,গতকাল আসিলেন আপনারা,Past_Nrm
487,উনি অতীতে আসিলেন,Past_Nrm
488,উনারা অতীতে আসিলেন,Past_Nrm
489,তিনি আসিলেন অতীতে,Past_Nrm
490,তুই এখন আসিস,Present_Nrm
491,বর্তমানে আসিস তোরা,Present_Nrm
492,সে আসুক এখন,Present_Nrm
493,আজ আসুক তারা,Present_Nrm
494,আপনি আজ আসুন,Present_Nrm
495,আপনারা আসুন আজকে,Present_Nrm
496,উনি আসুন আজ,Present_Nrm
497,উনারা আজ আসুন,Present_Nrm
498,এখনই আসুন তিনি,Present_Nrm
499,সে এখনই আসে,Present_Nrm
500,তারা আসে এখনই,Present_Nrm
501,আপনি আসেন এখনই,Present_Nrm
502,এখনই আসেন আপনারা,Present_Nrm
503,উনি আজকে আসেন,Present_Nrm
504,আজকে আসেন উনারা,Present_Nrm
505,এখন আসেন তিনি,Present_Nrm
506,তুমি আসছ আজ,Present_Nrm
507,এখন আসছ তোমরা,Present_Nrm
